Karatsuba,SS,Optimized
0.0014430,0.0006700,0.0000420
0.0014180,0.0009020,0.0000660
0.0004380,0.0000020,0.0000020
0.0014110,0.0008850,0.0000580
0.0013710,0.0008240,0.0000540
0.0014410,0.0000050,0.0000030
0.0014320,0.0009270,0.0000810
0.0014130,0.0008590,0.0000590
0.0014470,0.0000040,0.0000020
0.0014660,0.0009210,0.0000800
0.0013200,0.0000020,0.0000020
0.0014050,0.0005830,0.0000430
0.0014120,0.0006810,0.0000490
0.0013200,0.0007230,0.0000380
0.0014330,0.0009200,0.0000800
0.0014060,0.0006770,0.0000460
0.0014270,0.0005390,0.0000260
0.0014580,0.0009200,0.0000790
0.0013240,0.0007740,0.0000470
0.0014070,0.0009220,0.0000670
0.0014310,0.0009450,0.0000740
0.0014050,0.0008650,0.0000640
0.0014330,0.0009190,0.0000800
0.0014030,0.0000090,0.0000030
0.0014590,0.0009220,0.0000800
0.0014330,0.0009160,0.0000780
0.0004340,0.0000020,0.0000020
0.0014210,0.0008670,0.0000500
0.0001470,0.0000020,0.0000010
0.0014030,0.0009350,0.0000670
0.0013880,0.0006080,0.0000340
0.0014060,0.0008430,0.0000490
0.0015530,0.0009720,0.0000810
0.0015250,0.0007810,0.0000630
0.0013540,0.0009130,0.0000620
0.0014010,0.0000030,0.0000020
0.0014510,0.0005730,0.0000370
0.0014340,0.0009290,0.0000830
0.0013640,0.0007110,0.0000450
0.0014100,0.0005680,0.0000380
0.0004360,0.0001110,0.0000110
0.0014580,0.0009240,0.0000810
0.0014400,0.0005640,0.0000350
0.0013150,0.0005390,0.0000270
0.0013240,0.0000050,0.0000020
0.0014110,0.0008470,0.0000650
0.0014310,0.0009100,0.0000680
0.0014300,0.0009200,0.0000790
0.0014560,0.0009200,0.0000770
0.0014540,0.0009180,0.0000800
0.0013640,0.0009120,0.0000600
0.0013330,0.0006680,0.0000340
0.0014160,0.0009530,0.0000840
0.0014520,0.0008940,0.0000640
0.0014330,0.0009210,0.0000780
0.0014070,0.0008370,0.0000630
0.0014300,0.0006720,0.0000400
0.0014840,0.0000030,0.0000030
0.0015470,0.0010100,0.0000860
0.0015500,0.0009930,0.0000850
0.0015210,0.0009320,0.0000710
0.0015020,0.0009230,0.0000790
0.0014220,0.0009050,0.0000530
0.0013410,0.0006460,0.0000350
0.0014180,0.0006570,0.0000380
0.0014540,0.0000040,0.0000030
0.0015370,0.0010080,0.0000790
0.0015700,0.0010050,0.0000870
0.0015660,0.0008740,0.0000740
0.0014330,0.0009220,0.0000800
0.0013940,0.0006210,0.0000320
0.0014350,0.0009480,0.0000780
0.0014320,0.0008500,0.0000570
0.0014390,0.0009210,0.0000780
0.0014330,0.0009180,0.0000810
0.0014610,0.0009180,0.0000770
0.0014140,0.0008940,0.0000710
0.0014600,0.0009190,0.0000790
0.0015150,0.0009120,0.0000680
0.0014310,0.0009470,0.0000800
0.0013650,0.0007770,0.0000390
0.0014120,0.0007600,0.0000610
0.0015130,0.0009190,0.0000790
0.0014040,0.0005150,0.0000130
0.0014680,0.0009060,0.0000660
0.0014080,0.0009010,0.0000520
0.0014410,0.0008170,0.0000630
0.0014200,0.0008070,0.0000570
0.0013610,0.0008390,0.0000520
0.0014070,0.0006850,0.0000450
0.0014070,0.0008620,0.0000640
0.0014570,0.0008390,0.0000670
0.0015070,0.0000030,0.0000030
0.0015650,0.0000030,0.0000020
0.0016140,0.0008030,0.0000650
0.0016230,0.0008060,0.0000490
0.0015810,0.0010060,0.0000800
0.0015780,0.0010900,0.0000950
0.0014270,0.0009180,0.0000710
0.0014030,0.0007850,0.0000500
0.0000030,0.0000000,0.0000010
0.0014160,0.0009400,0.0000710
0.0014040,0.0000020,0.0000030
0.0014420,0.0008090,0.0000610
0.0013630,0.0007720,0.0000460
0.0014070,0.0000090,0.0000020
0.0014560,0.0009500,0.0000790
0.0014570,0.0008990,0.0000710
0.0014080,0.0009180,0.0000820
0.0014390,0.0008420,0.0000590
0.0013980,0.0000030,0.0000040
0.0014040,0.0008610,0.0000620
0.0013240,0.0006020,0.0000240
0.0014320,0.0009510,0.0000800
0.0014450,0.0007110,0.0000520
0.0014560,0.0009200,0.0000790
0.0015370,0.0009500,0.0000830
0.0014350,0.0009490,0.0000780
0.0014100,0.0008900,0.0000660
0.0014250,0.0009170,0.0000740
0.0014150,0.0008830,0.0000670
0.0013910,0.0009880,0.0000570
0.0013440,0.0006070,0.0000280
0.0014940,0.0009250,0.0000790
0.0014100,0.0006800,0.0000530
0.0014470,0.0008470,0.0000630
0.0014020,0.0000030,0.0000030
0.0014110,0.0008980,0.0000800
0.0014910,0.0008710,0.0000670
0.0014040,0.0008640,0.0000630
0.0013590,0.0008890,0.0000470
0.0014070,0.0008500,0.0000600
0.0014100,0.0008450,0.0000620
0.0014440,0.0007440,0.0000450
0.0014070,0.0007580,0.0000500
0.0013460,0.0008100,0.0000400
0.0014010,0.0000030,0.0000020
0.0014370,0.0009210,0.0000810
0.0014620,0.0009200,0.0000790
0.0014220,0.0009170,0.0000700
0.0013300,0.0000060,0.0000030
0.0014110,0.0009390,0.0000720
0.0014340,0.0009570,0.0000800
0.0014740,0.0009540,0.0000850
0.0013610,0.0008390,0.0000480
0.0014880,0.0008200,0.0000570
0.0014840,0.0008750,0.0000540
0.0015220,0.0009670,0.0000780
0.0014530,0.0000040,0.0000030
0.0015770,0.0009660,0.0000850
0.0014620,0.0009430,0.0000790
0.0014320,0.0009200,0.0000790
0.0014150,0.0006790,0.0000500
0.0014580,0.0009030,0.0000710
